W R
122.934 0.0112949
123.337 0.0109355
123.74 0.0107242
124.143 0.0106395
124.547 0.0106632
124.95 0.0107791
125.353 0.0109739
125.756 0.0112355
126.159 0.0115539
126.562 0.0119203
126.965 0.012327
127.368 0.0127677
127.771 0.0132365
128.174 0.0137286
128.577 0.0142398
128.98 0.0147663
129.383 0.015305
129.786 0.0158531
130.189 0.0164083
130.593 0.0169684
130.996 0.0175318
131.399 0.0180967
131.802 0.018662
132.205 0.0192264
132.608 0.0197889
133.011 0.0203487
133.414 0.0209051
133.817 0.0214574
134.22 0.0220051
134.623 0.0225478
135.026 0.023085
135.429 0.0236164
135.832 0.0241419
136.235 0.0246611
136.638 0.0251739
137.042 0.0256801
137.445 0.0261798
137.848 0.0266727
138.251 0.0271588
138.654 0.0276381
139.057 0.0281107
139.46 0.0285764
139.863 0.0290354
140.266 0.0294876
140.669 0.0299331
141.072 0.0303719
141.475 0.0308042
141.878 0.0312299
142.281 0.0316492
142.684 0.0320621
143.087 0.0324688
143.491 0.0328692
143.894 0.0332635
144.297 0.0336517
144.7 0.0340341
145.103 0.0344106
145.506 0.0347813
145.909 0.0351464
146.312 0.0355059
146.715 0.0358599
147.118 0.0362086
147.521 0.036552
147.924 0.0368902
148.327 0.0372233
148.73 0.0375514
149.133 0.0378745
149.536 0.0381929
149.94 0.0385065
150.343 0.0388155
150.746 0.0391199
151.149 0.0394198
151.552 0.0397153
151.955 0.0400065
152.358 0.0402935
152.761 0.0405763
153.164 0.040855
153.567 0.0411297
153.97 0.0414005
154.373 0.0416675
154.776 0.0419306
155.179 0.0421901
155.582 0.0424459
155.985 0.0426981
156.389 0.0429468
156.792 0.0431921
157.195 0.0434339
157.598 0.0436725
158.001 0.0439078
158.404 0.0441399
158.807 0.0443689
159.21 0.0445948
159.613 0.0448176
160.016 0.0450375
160.419 0.0452545
160.822 0.0454686
161.225 0.0456799
161.628 0.0458884
162.031 0.0460942
162.435 0.0462973
162.838 0.0464979
163.241 0.0466958
163.644 0.0468912
164.047 0.0470842
164.45 0.0472747
164.853 0.0474628
165.256 0.0476485
165.659 0.0478319
166.062 0.0480131
166.465 0.048192
166.868 0.0483687
167.271 0.0485433
167.674 0.0487157
168.077 0.0488861
168.48 0.0490544
168.884 0.0492206
169.287 0.0493849
169.69 0.0495472
170.093 0.0497076
170.496 0.0498662
170.899 0.0500228
171.302 0.0501777
171.705 0.0503307
172.108 0.050482
172.511 0.0506315
172.914 0.0507793
173.317 0.0509254
173.72 0.0510699
174.123 0.0512127
174.526 0.051354
174.929 0.0514936
175.333 0.0516317
175.736 0.0517683
176.139 0.0519033
176.542 0.0520369
176.945 0.052169
177.348 0.0522997
177.751 0.0524289
178.154 0.0525568
178.557 0.0526832
178.96 0.0528084
179.363 0.0529321
179.766 0.0530546
180.169 0.0531758
180.572 0.0532957
180.975 0.0534143
181.378 0.0535317
181.782 0.0536479
182.185 0.0537629
182.588 0.0538767
182.991 0.0539893
183.394 0.0541008
183.797 0.0542111
184.2 0.0543204
184.603 0.0544285
185.006 0.0545355
185.409 0.0546415
185.812 0.0547464
186.215 0.0548502
186.618 0.0549531
187.021 0.0550549
187.424 0.0551557
187.827 0.0552556
188.231 0.0553544
188.634 0.0554523
189.037 0.0555493
189.44 0.0556453
189.843 0.0557404
190.246 0.0558346
190.649 0.0559279
191.052 0.0560203
191.455 0.0561119
191.858 0.0562026
192.261 0.0562924
192.664 0.0563814
193.067 0.0564696
193.47 0.056557
193.873 0.0566435
194.277 0.0567293
194.68 0.0568143
195.083 0.0568985
195.486 0.0569819
195.889 0.0570646
196.292 0.0571465
196.695 0.0572277
197.098 0.0573082
197.501 0.0573879
197.904 0.057467
198.307 0.0575453
198.71 0.057623
199.113 0.0576999
199.516 0.0577762
199.919 0.0578519
200.322 0.0579268
200.726 0.0580012
201.129 0.0580749
201.532 0.0581479
201.935 0.0582203
202.338 0.0582921
202.741 0.0583633
203.144 0.0584339
203.547 0.0585039
203.95 0.0585733
204.353 0.0586421
204.756 0.0587104
205.159 0.058778
205.562 0.0588451
205.965 0.0589117
206.368 0.0589777
206.771 0.0590432
207.175 0.0591081
207.578 0.0591725
207.981 0.0592364
208.384 0.0592997
208.787 0.0593625
209.19 0.0594249
209.593 0.0594867
209.996 0.059548
210.399 0.0596089
210.802 0.0596692
211.205 0.0597291
211.608 0.0597885
212.011 0.0598475
212.414 0.0599059
212.817 0.059964
213.22 0.0600215
213.624 0.0600786
214.027 0.0601353
214.43 0.0601915
214.833 0.0602473
215.236 0.0603027
215.639 0.0603577
216.042 0.0604122
216.445 0.0604663
216.848 0.06052
217.251 0.0605733
217.654 0.0606262
218.057 0.0606787
218.46 0.0607308
218.863 0.0607825
219.266 0.0608338
219.669 0.0608847
220.073 0.0609353
220.476 0.0609855
220.879 0.0610353
221.282 0.0610847
221.685 0.0611338
222.088 0.0611826
222.491 0.0612309
222.894 0.061279
223.297 0.0613266
223.7 0.061374
224.103 0.061421
224.506 0.0614676
224.909 0.0615139
225.312 0.0615599
225.715 0.0616056
226.119 0.0616509
226.522 0.061696
226.925 0.0617406
227.328 0.061785
227.731 0.0618291
228.134 0.0618729
228.537 0.0619163
228.94 0.0619595
229.343 0.0620023
229.746 0.0620449
230.149 0.0620872
230.552 0.0621291
230.955 0.0621708
231.358 0.0622122
231.761 0.0622534
232.164 0.0622942
232.568 0.0623348
232.971 0.062375
233.374 0.0624151
233.777 0.0624548
234.18 0.0624943
234.583 0.0625335
234.986 0.0625725
235.389 0.0626111
235.792 0.0626496
236.195 0.0626878
236.598 0.0627257
237.001 0.0627634
237.404 0.0628008
237.807 0.062838
238.21 0.0628749
238.613 0.0629116
239.017 0.0629481
239.42 0.0629843
239.823 0.0630203
240.226 0.0630561
240.629 0.0630916
241.032 0.0631269
241.435 0.063162
241.838 0.0631968
242.241 0.0632314
242.644 0.0632658
243.047 0.0633
243.45 0.063334
243.853 0.0633677
244.256 0.0634013
244.659 0.0634346
245.062 0.0634677
245.466 0.0635007
245.869 0.0635334
246.272 0.0635659
246.675 0.0635982
247.078 0.0636303
247.481 0.0636622
247.884 0.0636939
248.287 0.0637254
248.69 0.0637567
249.093 0.0637879
249.496 0.0638188
249.899 0.0638496
250.302 0.0638801
250.705 0.0639105
251.108 0.0639407
251.511 0.0639707
251.915 0.0640006
252.318 0.0640302
252.721 0.0640597
253.124 0.064089
253.527 0.0641181
253.93 0.0641471
254.333 0.0641758
254.736 0.0642045
255.139 0.0642329
255.542 0.0642612
255.945 0.0642893
256.348 0.0643172
256.751 0.064345
257.154 0.0643726
257.557 0.0644001
257.96 0.0644274
258.364 0.0644545
258.767 0.0644815
259.17 0.0645083
259.573 0.064535
259.976 0.0645615
260.379 0.0645879
260.782 0.0646141
261.185 0.0646402
261.588 0.0646661
261.991 0.0646918
262.394 0.0647175
262.797 0.0647429
263.2 0.0647683
263.603 0.0647935
264.006 0.0648185
264.41 0.0648434
264.813 0.0648682
265.216 0.0648928
265.619 0.0649173
266.022 0.0649417
266.425 0.0649659
266.828 0.06499
267.231 0.065014
267.634 0.0650378
268.037 0.0650615
268.44 0.065085
268.843 0.0651085
269.246 0.0651318
269.649 0.065155
270.052 0.065178
270.455 0.0652009
270.859 0.0652237
271.262 0.0652464
271.665 0.065269
272.068 0.0652914
272.471 0.0653137
272.874 0.0653359
273.277 0.065358
273.68 0.0653799
274.083 0.0654018
274.486 0.0654235
274.889 0.0654451
275.292 0.0654666
275.695 0.065488
276.098 0.0655093
276.501 0.0655304
276.904 0.0655515
277.308 0.0655724
277.711 0.0655932
278.114 0.0656139
278.517 0.0656345
278.92 0.065655
279.323 0.0656754
279.726 0.0656957
280.129 0.0657159
280.532 0.065736
280.935 0.065756
281.338 0.0657758
281.741 0.0657956
282.144 0.0658153
282.547 0.0658348
282.95 0.0658543
283.353 0.0658737
283.757 0.065893
284.16 0.0659121
284.563 0.0659312
284.966 0.0659502
285.369 0.0659691
285.772 0.0659879
286.175 0.0660066
286.578 0.0660252
286.981 0.0660437
287.384 0.0660621
287.787 0.0660804
288.19 0.0660986
288.593 0.0661168
288.996 0.0661348
289.399 0.0661528
289.802 0.0661707
290.206 0.0661884
290.609 0.0662061
291.012 0.0662238
291.415 0.0662413
291.818 0.0662587
292.221 0.0662761
292.624 0.0662933
293.027 0.0663105
293.43 0.0663276
293.833 0.0663446
294.236 0.0663616
294.639 0.0663784
295.042 0.0663952
295.445 0.0664119
295.848 0.0664285
296.252 0.066445
296.655 0.0664615
297.058 0.0664779
297.461 0.0664942
297.864 0.0665104
298.267 0.0665265
298.67 0.0665426
299.073 0.0665586
299.476 0.0665745
299.879 0.0665903
300.282 0.0666061
300.685 0.0666218
301.088 0.0666374
301.491 0.0666529
301.894 0.0666684
302.297 0.0666838
302.701 0.0666991
303.104 0.0667144
303.507 0.0667296
303.91 0.0667447
304.313 0.0667597
304.716 0.0667747
305.119 0.0667896
305.522 0.0668045
305.925 0.0668192
306.328 0.0668339
306.731 0.0668486
307.134 0.0668631
307.537 0.0668776
307.94 0.0668921
308.343 0.0669064
308.746 0.0669207
309.15 0.066935
309.553 0.0669491
309.956 0.0669632
310.359 0.0669773
310.762 0.0669913
311.165 0.0670052
311.568 0.067019
311.971 0.0670328
312.374 0.0670466
312.777 0.0670602
313.18 0.0670739
313.583 0.0670874
313.986 0.0671009
314.389 0.0671143
314.792 0.0671277
315.195 0.067141
315.599 0.0671543
316.002 0.0671675
316.405 0.0671806
316.808 0.0671937
317.211 0.0672067
317.614 0.0672197
318.017 0.0672326
318.42 0.0672454
318.823 0.0672582
319.226 0.0672709
319.629 0.0672836
320.032 0.0672963
320.435 0.0673088
320.838 0.0673214
321.241 0.0673338
321.644 0.0673462
322.048 0.0673586
322.451 0.0673709
322.854 0.0673831
323.257 0.0673953
323.66 0.0674075
324.063 0.0674196
324.466 0.0674316
324.869 0.0674436
325.272 0.0674556
325.675 0.0674675
326.078 0.0674793
326.481 0.0674911
326.884 0.0675028
327.287 0.0675145
327.69 0.0675262
328.094 0.0675378
328.497 0.0675493
328.9 0.0675608
329.303 0.0675723
329.706 0.0675837
330.109 0.067595
330.512 0.0676063
330.915 0.0676176
331.318 0.0676288
331.721 0.06764
332.124 0.0676511
332.527 0.0676622
332.93 0.0676732
333.333 0.0676842
333.736 0.0676951
334.139 0.067706
334.543 0.0677169
334.946 0.0677277
335.349 0.0677384
335.752 0.0677491
336.155 0.0677598
336.558 0.0677704
336.961 0.067781
337.364 0.0677916
337.767 0.0678021
338.17 0.0678125
338.573 0.0678229
338.976 0.0678333
339.379 0.0678436
339.782 0.0678539
340.185 0.0678642
340.588 0.0678744
340.992 0.0678846
341.395 0.0678947
341.798 0.0679048
342.201 0.0679148
342.604 0.0679248
343.007 0.0679348
343.41 0.0679447
343.813 0.0679546
344.216 0.0679645
344.619 0.0679743
345.022 0.067984
345.425 0.0679938
345.828 0.0680035
346.231 0.0680131
346.634 0.0680227
347.037 0.0680323
347.441 0.0680419
347.844 0.0680514
348.247 0.0680608
348.65 0.0680703
349.053 0.0680797
349.456 0.068089
349.859 0.0680983
350.262 0.0681076
350.665 0.0681169
351.068 0.0681261
351.471 0.0681353
351.874 0.0681444
352.277 0.0681535
352.68 0.0681626
353.083 0.0681716
353.486 0.0681806
353.89 0.0681896
354.293 0.0681985
354.696 0.0682075
355.099 0.0682163
355.502 0.0682252
355.905 0.068234
356.308 0.0682427
356.711 0.0682515
357.114 0.0682602
357.517 0.0682688
357.92 0.0682775
358.323 0.0682861
358.726 0.0682946
359.129 0.0683032
359.532 0.0683117
359.936 0.0683202
360.339 0.0683286
360.742 0.068337
361.145 0.0683454
361.548 0.0683537
361.951 0.0683621
362.354 0.0683703
362.757 0.0683786
363.16 0.0683868
363.563 0.068395
363.966 0.0684032
364.369 0.0684113
364.772 0.0684194
365.175 0.0684275
365.578 0.0684355
365.981 0.0684436
366.385 0.0684515
366.788 0.0684595
367.191 0.0684674
367.594 0.0684753
367.997 0.0684832
368.4 0.068491
368.803 0.0684989
369.206 0.0685066
369.609 0.0685144
370.012 0.0685221
370.415 0.0685298
370.818 0.0685375
371.221 0.0685451
371.624 0.0685528
372.027 0.0685604
372.43 0.0685679
372.834 0.0685755
373.237 0.068583
373.64 0.0685904
374.043 0.0685979
374.446 0.0686053
374.849 0.0686127
375.252 0.0686201
375.655 0.0686275
376.058 0.0686348
376.461 0.0686421
376.864 0.0686494
377.267 0.0686566
377.67 0.0686638
378.073 0.068671
378.476 0.0686782
378.879 0.0686853
379.283 0.0686924
379.686 0.0686995
380.089 0.0687066
380.492 0.0687137
380.895 0.0687207
381.298 0.0687277
381.701 0.0687346
382.104 0.0687416
382.507 0.0687485
382.91 0.0687554
383.313 0.0687623
383.716 0.0687691
384.119 0.068776
384.522 0.0687828
384.925 0.0687896
385.328 0.0687963
385.732 0.068803
386.135 0.0688098
386.538 0.0688164
386.941 0.0688231
387.344 0.0688297
387.747 0.0688364
388.15 0.068843
388.553 0.0688495
388.956 0.0688561
389.359 0.0688626
389.762 0.0688691
390.165 0.0688756
390.568 0.0688821
390.971 0.0688885
391.374 0.0688949
391.778 0.0689013
392.181 0.0689077
392.584 0.0689141
392.987 0.0689204
393.39 0.0689267
393.793 0.068933
394.196 0.0689393
394.599 0.0689455
395.002 0.0689517
395.405 0.068958
395.808 0.0689641
396.211 0.0689703
396.614 0.0689764
397.017 0.0689826
397.42 0.0689887
397.823 0.0689948
398.227 0.0690008
398.63 0.0690069
399.033 0.0690129
399.436 0.0690189
399.839 0.0690249
400.242 0.0690308
400.645 0.0690368
401.048 0.0690427
401.451 0.0690486
401.854 0.0690545
402.257 0.0690604
402.66 0.0690662
403.063 0.069072
403.466 0.0690779
403.869 0.0690836
404.272 0.0690894
404.676 0.0690952
405.079 0.0691009
405.482 0.0691066
405.885 0.0691123
406.288 0.069118
406.691 0.0691237
407.094 0.0691293
407.497 0.0691349
407.9 0.0691405
408.303 0.0691461
408.706 0.0691517
409.109 0.0691572
409.512 0.0691628
409.915 0.0691683
410.318 0.0691738
410.721 0.0691793
411.125 0.0691847
411.528 0.0691902
411.931 0.0691956
412.334 0.069201
412.737 0.0692064
413.14 0.0692118
413.543 0.0692172
413.946 0.0692225
414.349 0.0692278
414.752 0.0692331
415.155 0.0692384
415.558 0.0692437
415.961 0.069249
416.364 0.0692542
416.767 0.0692594
417.17 0.0692646
417.574 0.0692698
417.977 0.069275
418.38 0.0692802
418.783 0.0692853
419.186 0.0692905
419.589 0.0692956
419.992 0.0693007
420.395 0.0693058
420.798 0.0693108
421.201 0.0693159
421.604 0.0693209
422.007 0.0693259
422.41 0.0693309
422.813 0.0693359
423.216 0.0693409
423.62 0.0693458
424.023 0.0693508
424.426 0.0693557
424.829 0.0693606
425.232 0.0693655
425.635 0.0693704
426.038 0.0693753
426.441 0.0693801
426.844 0.069385
427.247 0.0693898
427.65 0.0693946
428.053 0.0693994
428.456 0.0694042
428.859 0.0694089
429.262 0.0694137
429.665 0.0694184
430.069 0.0694232
430.472 0.0694279
430.875 0.0694326
431.278 0.0694372
431.681 0.0694419
432.084 0.0694466
432.487 0.0694512
432.89 0.0694558
433.293 0.0694604
433.696 0.069465
434.099 0.0694696
434.502 0.0694742
434.905 0.0694787
435.308 0.0694833
435.711 0.0694878
436.114 0.0694923
436.518 0.0694968
436.921 0.0695013
437.324 0.0695058
437.727 0.0695102
438.13 0.0695147
438.533 0.0695191
438.936 0.0695235
439.339 0.069528
439.742 0.0695324
440.145 0.0695367
440.548 0.0695411
440.951 0.0695455
441.354 0.0695498
441.757 0.0695541
442.16 0.0695585
442.563 0.0695628
442.967 0.0695671
443.37 0.0695714
443.773 0.0695756
444.176 0.0695799
444.579 0.0695841
444.982 0.0695884
445.385 0.0695926
445.788 0.0695968
446.191 0.069601
446.594 0.0696052
446.997 0.0696094
447.4 0.0696135
447.803 0.0696177
448.206 0.0696218
448.609 0.0696259
449.012 0.06963
449.416 0.0696341
449.819 0.0696382
450.222 0.0696423
450.625 0.0696464
451.028 0.0696504
451.431 0.0696545
451.834 0.0696585
452.237 0.0696625
452.64 0.0696666
453.043 0.0696706
453.446 0.0696745
453.849 0.0696785
454.252 0.0696825
454.655 0.0696864
455.058 0.0696904
455.462 0.0696943
455.865 0.0696983
456.268 0.0697022
456.671 0.0697061
457.074 0.06971
457.477 0.0697138
457.88 0.0697177
458.283 0.0697216
458.686 0.0697254
459.089 0.0697293
459.492 0.0697331
459.895 0.0697369
460.298 0.0697407
460.701 0.0697445
461.104 0.0697483
461.507 0.0697521
461.911 0.0697558
462.314 0.0697596
462.717 0.0697633
463.12 0.0697671
463.523 0.0697708
463.926 0.0697745
464.329 0.0697782
464.732 0.0697819
465.135 0.0697856
465.538 0.0697893
465.941 0.0697929
466.344 0.0697966
466.747 0.0698002
467.15 0.0698039
467.553 0.0698075
467.956 0.0698111
468.36 0.0698147
468.763 0.0698183
469.166 0.0698219
469.569 0.0698255
469.972 0.0698291
470.375 0.0698326
470.778 0.0698362
471.181 0.0698397
471.584 0.0698432
471.987 0.0698468
472.39 0.0698503
472.793 0.0698538
473.196 0.0698573
473.599 0.0698608
474.002 0.0698643
474.405 0.0698677
474.809 0.0698712
475.212 0.0698746
475.615 0.0698781
476.018 0.0698815
476.421 0.0698849
476.824 0.0698884
477.227 0.0698918
477.63 0.0698952
478.033 0.0698986
478.436 0.069902
478.839 0.0699053
479.242 0.0699087
479.645 0.0699121
480.048 0.0699154
480.451 0.0699187
480.854 0.0699221
481.258 0.0699254
481.661 0.0699287
482.064 0.069932
482.467 0.0699353
482.87 0.0699386
483.273 0.0699419
483.676 0.0699452
484.079 0.0699485
484.482 0.0699517
484.885 0.069955
485.288 0.0699582
485.691 0.0699615
486.094 0.0699647
486.497 0.0699679
486.9 0.0699711
487.304 0.0699743
487.707 0.0699775
488.11 0.0699807
488.513 0.0699839
488.916 0.0699871
489.319 0.0699903
489.722 0.0699934
490.125 0.0699966
490.528 0.0699997
490.931 0.0700029
491.334 0.070006
491.737 0.0700091
492.14 0.0700122
492.543 0.0700154
492.946 0.0700185
493.349 0.0700216
493.753 0.0700246
494.156 0.0700277
494.559 0.0700308
494.962 0.0700339
495.365 0.0700369
495.768 0.07004
496.171 0.070043
496.574 0.0700461
496.977 0.0700491
497.38 0.0700522
497.783 0.0700552
498.186 0.0700582
498.589 0.0700612
498.992 0.0700642
499.395 0.0700672
499.798 0.0700702
500.202 0.0700732
500.605 0.0700762
501.008 0.0700791
501.411 0.0700821
501.814 0.0700851
502.217 0.070088
502.62 0.070091
503.023 0.0700939
503.426 0.0700968
503.829 0.0700998
504.232 0.0701027
504.635 0.0701056
505.038 0.0701085
505.441 0.0701114
505.844 0.0701143
506.247 0.0701172
506.651 0.0701201
507.054 0.070123
507.457 0.0701258
507.86 0.0701287
508.263 0.0701316
508.666 0.0701344
509.069 0.0701373
509.472 0.0701401
509.875 0.070143
510.278 0.0701458
510.681 0.0701486
511.084 0.0701515
511.487 0.0701543
511.89 0.0701571
512.293 0.0701599
512.696 0.0701627
513.1 0.0701655
513.503 0.0701683
513.906 0.0701711
514.309 0.0701739
514.712 0.0701767
515.115 0.0701794
515.518 0.0701822
515.921 0.070185
516.324 0.0701877
516.727 0.0701905
517.13 0.0701932
517.533 0.070196
517.936 0.0701987
518.339 0.0702014
518.742 0.0702042
519.146 0.0702069
519.549 0.0702096
519.952 0.0702123
520.355 0.070215
520.758 0.0702177
521.161 0.0702204
521.564 0.0702231
521.967 0.0702258
522.37 0.0702285
522.773 0.0702312
523.176 0.0702339
523.579 0.0702366
523.982 0.0702392
524.385 0.0702419
524.788 0.0702446
525.191 0.0702472
525.595 0.0702499
525.998 0.0702525
526.401 0.0702552
526.804 0.0702578
527.207 0.0702605
527.61 0.0702631
528.013 0.0702657
528.416 0.0702684
528.819 0.070271
529.222 0.0702736
529.625 0.0702762
530.028 0.0702788
530.431 0.0702814
530.834 0.070284
531.237 0.0702867
531.64 0.0702893
532.044 0.0702918
532.447 0.0702944
532.85 0.070297
533.253 0.0702996
533.656 0.0703022
534.059 0.0703048
534.462 0.0703073
534.865 0.0703099
535.268 0.0703125
535.671 0.0703151
536.074 0.0703176
536.477 0.0703202
536.88 0.0703227
537.283 0.0703253
537.686 0.0703278
538.089 0.0703304
538.493 0.0703329
538.896 0.0703355
539.299 0.070338
539.702 0.0703405
540.105 0.0703431
540.508 0.0703456
540.911 0.0703481
541.314 0.0703507
541.717 0.0703532
542.12 0.0703557
542.523 0.0703582
542.926 0.0703607
543.329 0.0703632
543.732 0.0703658
544.135 0.0703683
544.538 0.0703708
544.942 0.0703733
545.345 0.0703758
545.748 0.0703783
546.151 0.0703808
546.554 0.0703833
546.957 0.0703858
547.36 0.0703883
547.763 0.0703907
548.166 0.0703932
548.569 0.0703957
548.972 0.0703982
549.375 0.0704007
549.778 0.0704032
550.181 0.0704056
550.584 0.0704081
550.988 0.0704106
551.391 0.070413
551.794 0.0704155
552.197 0.070418
552.6 0.0704205
553.003 0.0704229
553.406 0.0704254
553.809 0.0704278
554.212 0.0704303
554.615 0.0704328
555.018 0.0704352
555.421 0.0704377
555.824 0.0704401
556.227 0.0704426
556.63 0.070445
557.033 0.0704475
557.437 0.0704499
557.84 0.0704524
558.243 0.0704548
558.646 0.0704573
559.049 0.0704597
559.452 0.0704622
559.855 0.0704646
560.258 0.0704671
560.661 0.0704695
561.064 0.070472
561.467 0.0704744
561.87 0.0704768
562.273 0.0704793
562.676 0.0704817
563.079 0.0704842
563.482 0.0704866
563.886 0.070489
564.289 0.0704915
564.692 0.0704939
565.095 0.0704964
565.498 0.0704988
565.901 0.0705012
566.304 0.0705037
566.707 0.0705061
567.11 0.0705085
567.513 0.070511
567.916 0.0705134
568.319 0.0705158
568.722 0.0705183
569.125 0.0705207
569.528 0.0705231
569.931 0.0705256
